Date,Weekday,Revenue,Type
2010-12-07,周二,99515.15,绝对高收入日(Q4旺季/大额订单)
2010-12-24,周五,0.0,节假日停业
2010-12-26,周日,0.0,节假日停业
2010-12-27,周一,0.0,节假日停业
2010-12-28,周二,0.0,节假日停业
2010-12-29,周三,0.0,节假日停业
2010-12-30,周四,0.0,节假日停业
2010-12-31,周五,0.0,节假日停业
2011-01-02,周日,0.0,节假日停业
2011-01-03,周一,0.0,节假日停业
2011-03-29,周二,70333.17,季节调整后偏高(疑似促销/偶发大单)
2011-04-18,周一,55648.33,季节调整后偏高(疑似促销/偶发大单)
2011-04-22,周五,0.0,节假日停业
2011-04-24,周日,0.0,节假日停业
2011-04-25,周一,0.0,节假日停业
2011-04-29,周五,0.0,节假日停业
2011-05-02,周一,0.0,节假日停业
2011-05-30,周一,0.0,节假日停业
2011-06-10,周五,61872.49,季节调整后偏高(疑似促销/偶发大单)
2011-08-29,周一,0.0,节假日停业
2011-09-15,周四,77194.83,绝对高收入日(Q4旺季/大额订单)
2011-09-20,周二,104183.02,季节调整后偏高(疑似促销/偶发大单)
2011-09-20,周二,104183.02,绝对高收入日(Q4旺季/大额订单)
2011-11-07,周一,85832.94,绝对高收入日(Q4旺季/大额订单)
2011-11-14,周一,113684.15,季节调整后偏高(疑似促销/偶发大单)
2011-11-14,周一,113684.15,绝对高收入日(Q4旺季/大额订单)
2011-11-23,周三,79511.98,绝对高收入日(Q4旺季/大额订单)
2011-12-05,周一,88741.96,绝对高收入日(Q4旺季/大额订单)
2011-12-08,周四,82397.15,绝对高收入日(Q4旺季/大额订单)
