Date,Weekday,Predicted_Revenue,Lower_Bound_95CI,Upper_Bound_95CI,Prediction_Interval_Width,Expected_Closure
2011-12-11,周日,54728.87,17315.29,92142.46,74827.17,
2011-12-12,周一,57270.52,19856.94,94684.11,74827.17,
2011-12-13,周二,57560.5,20146.91,94974.08,74827.17,
2011-12-14,周三,57593.58,20179.99,95007.16,74827.17,
2011-12-15,周四,57597.35,20183.77,95010.94,74827.17,
2011-12-16,周五,57597.78,20184.2,95011.37,74827.17,
2011-12-18,周日,57597.83,20184.25,95011.42,74827.17,
2011-12-19,周一,57597.84,20184.25,95011.42,74827.17,
2011-12-20,周二,57597.84,20184.25,95011.43,74827.18,
2011-12-21,周三,57597.84,20184.25,95011.43,74827.18,
2011-12-22,周四,57597.84,20184.25,95011.43,74827.18,
2011-12-23,周五,57597.84,20184.25,95011.43,74827.18,
2011-12-25,周日,57597.84,20184.25,95011.43,74827.18,是
2011-12-26,周一,57597.84,20184.25,95011.43,74827.18,是
2011-12-27,周二,57597.84,20184.25,95011.43,74827.18,是
2011-12-28,周三,57597.84,20184.25,95011.43,74827.18,是
2011-12-29,周四,57597.84,20184.25,95011.43,74827.18,是
2011-12-30,周五,57597.84,20184.25,95011.43,74827.18,是
2012-01-01,周日,57597.84,20184.25,95011.43,74827.18,是
2012-01-02,周一,57597.84,20184.25,95011.43,74827.18,是
2012-01-03,周二,57597.84,20184.25,95011.43,74827.18,是
2012-01-04,周三,57597.84,20184.25,95011.43,74827.18,
2012-01-05,周四,57597.84,20184.25,95011.43,74827.18,
2012-01-06,周五,57597.84,20184.25,95011.43,74827.18,
2012-01-08,周日,57597.84,20184.25,95011.43,74827.18,
2012-01-09,周一,57597.84,20184.25,95011.43,74827.18,
2012-01-10,周二,57597.84,20184.25,95011.43,74827.18,
2012-01-11,周三,57597.84,20184.25,95011.43,74827.18,
2012-01-12,周四,57597.84,20184.25,95011.43,74827.18,
2012-01-13,周五,57597.84,20184.25,95011.43,74827.18,
