Date,Weekday,Predicted_Revenue,Lower_Bound_95CI,Upper_Bound_95CI,Prediction_Interval_Width,Expected_Closure
2011-12-11,周日,35260.49,513.08,70007.89,69494.81,
2011-12-12,周一,67738.13,32990.73,102485.53,69494.8,
2011-12-13,周二,60538.26,25790.86,95285.66,69494.8,
2011-12-14,周三,62341.43,27594.03,97088.83,69494.8,
2011-12-15,周四,65394.26,30646.86,100141.66,69494.8,
2011-12-16,周五,55748.51,21001.11,90495.92,69494.81,
2011-12-18,周日,35255.73,508.32,70003.13,69494.81,
2011-12-19,周一,67733.37,32985.97,102480.77,69494.8,
2011-12-20,周二,60533.5,25786.09,95280.9,69494.81,
2011-12-21,周三,62336.67,27589.27,97084.07,69494.8,
2011-12-22,周四,65389.5,30642.09,100136.9,69494.81,
2011-12-23,周五,55743.75,20996.35,90491.15,69494.8,
2011-12-25,周日,35250.96,503.56,69998.37,69494.81,是
2011-12-26,周一,67728.61,32981.2,102476.01,69494.81,是
2011-12-27,周二,60528.73,25781.33,95276.14,69494.81,是
2011-12-28,周三,62331.91,27584.5,97079.31,69494.81,是
2011-12-29,周四,65384.73,30637.33,100132.14,69494.81,是
2011-12-30,周五,55738.99,20991.58,90486.39,69494.81,是
2012-01-01,周日,35246.2,498.8,69993.6,69494.8,是
2012-01-02,周一,67723.84,32976.44,102471.25,69494.81,是
2012-01-03,周二,60523.97,25776.57,95271.37,69494.8,是
2012-01-04,周三,62327.14,27579.74,97074.55,69494.81,
2012-01-05,周四,65379.97,30632.57,100127.37,69494.8,
2012-01-06,周五,55734.22,20986.82,90481.63,69494.81,
2012-01-08,周日,35241.44,494.03,69988.84,69494.81,
2012-01-09,周一,67719.08,32971.68,102466.48,69494.8,
2012-01-10,周二,60519.21,25771.8,95266.61,69494.81,
2012-01-11,周三,62322.38,27574.98,97069.78,69494.8,
2012-01-12,周四,65375.21,30627.81,100122.61,69494.8,
2012-01-13,周五,55729.46,20982.06,90476.86,69494.8,
