Date,Weekday,Predicted_Revenue,Lower_Bound_95CI,Upper_Bound_95CI,Prediction_Interval_Width,Expected_Closure
2011-12-11,周日,35528.96,4267.94,66789.97,62522.03,
2011-12-12,周一,66514.14,35253.13,97775.16,62522.03,
2011-12-13,周二,60961.87,29700.86,92222.88,62522.02,
2011-12-14,周三,63196.44,31935.43,94457.45,62522.02,
2011-12-15,周四,67916.81,36655.8,99177.82,62522.02,
2011-12-16,周五,52125.66,20864.65,83386.67,62522.02,
2011-12-18,周日,36386.17,5125.16,67647.19,62522.03,
2011-12-19,周一,66214.18,34953.17,97475.19,62522.02,
2011-12-20,周二,62354.9,31093.88,93615.91,62522.03,
2011-12-21,周三,63505.18,32244.16,94766.19,62522.03,
2011-12-22,周四,68075.3,36814.28,99336.31,62522.03,
2011-12-23,周五,54502.65,23241.64,85763.67,62522.03,
2011-12-25,周日,37540.9,6279.89,68801.91,62522.02,是
2011-12-26,周一,67293.74,36032.73,98554.76,62522.03,是
2011-12-27,周二,63544.43,32283.41,94805.44,62522.03,是
2011-12-28,周三,64624.28,33363.26,95885.29,62522.03,是
2011-12-29,周四,69184.64,37923.62,100445.65,62522.03,是
2011-12-30,周五,55756.1,24495.08,87017.11,62522.03,是
2012-01-01,周日,38714.95,7453.94,69975.97,62522.03,是
2012-01-02,周一,68462.91,37201.9,99723.93,62522.03,是
2012-01-03,周二,64720.74,33459.72,95981.75,62522.03,是
2012-01-04,周三,65796.01,34535.0,97057.03,62522.03,
2012-01-05,周四,70355.74,39094.73,101616.75,62522.02,
2012-01-06,周五,56936.56,25675.55,88197.57,62522.02,
2012-01-08,周日,39890.26,8629.25,71151.27,62522.02,
2012-01-09,周一,69637.9,38376.89,100898.92,62522.03,
2012-01-10,周二,65896.19,34635.18,97157.2,62522.02,
2012-01-11,周三,66971.17,35710.16,98232.18,62522.02,
2012-01-12,周四,71530.86,40269.84,102791.87,62522.03,
2012-01-13,周五,58112.28,26851.27,89373.3,62522.03,
